10
192.168.0.0:0
192.168.0.1:1
192.168.0.2:2
192.168.0.3:3
192.168.0.4:4
192.168.0.5:5
192.168.0.6:6
192.168.0.7:7
192.168.0.8:8
192.168.0.9:9
0,1,8.64,7
0,2,8.45,7
0,3,7.55,7
0,4,8.41,7
0,5,6.76,7
0,6,5.5,7
0,7,4.11,7
0,8,5.61,7
0,9,6.6,7
1,0,8.64,7
1,2,0.76,2
1,3,1.1,3
1,4,1.47,4
1,5,1.92,5
1,6,3.52,6
1,7,4.53,7
1,8,3.08,8
1,9,2.54,9
2,0,8.45,7
2,1,0.76,1
2,3,1.22,3
2,4,0.71,4
2,5,1.93,5
2,6,3.53,6
2,7,4.34,7
2,8,3.0,8
2,9,2.73,9
3,0,7.55,7
3,1,1.1,1
3,2,1.22,2
3,4,1.68,4
3,5,0.82,5
3,6,2.42,6
3,7,3.44,7
3,8,1.98,8
3,9,1.52,9
4,0,8.41,7
4,1,1.47,1
4,2,0.71,2
4,3,1.68,3
4,5,2.21,5
4,6,3.7,6
4,7,4.29,7
4,8,3.11,8
4,9,3.09,9
5,0,6.76,7
5,1,1.92,1
5,2,1.93,2
5,3,0.82,3
5,4,2.21,4
5,6,1.62,6
5,7,2.65,7
5,8,1.17,8
5,9,0.9,9
6,0,5.5,7
6,1,3.52,1
6,2,3.53,2
6,3,2.42,3
6,4,3.7,4
6,5,1.62,5
6,7,1.39,7
6,8,0.62,8
6,9,1.15,9
7,0,4.11,0
7,1,4.53,1
7,2,4.34,2
7,3,3.44,3
7,4,4.29,4
7,5,2.65,5
7,6,1.39,6
7,8,1.5,8
7,9,2.49,9
8,0,5.61,7
8,1,3.08,1
8,2,3.0,2
8,3,1.98,3
8,4,3.11,4
8,5,1.17,5
8,6,0.62,6
8,7,1.5,7
8,9,1.09,9
9,0,6.6,7
9,1,2.54,1
9,2,2.73,2
9,3,1.52,3
9,4,3.09,4
9,5,0.9,5
9,6,1.15,6
9,7,2.49,7
9,8,1.09,8
